speaker_id,full_name,summary_research_interests,affiliations
clary-b-clish,Clary B. Clish,"Our work focuses on the development and application of technologies for the systematic analysis of metabolites in biological specimens. The potential of metabolomics to detect and characterize early metabolic changes in subclinical disease has important implications for discovering pathophysiologic mechanisms and disease markers. We also use metabolomics to understand the molecular mechanisms through which diet, exercise, and the microbiome affect human health.",Broad Institute of MIT and Harvard
jessica-lasky-su,Jessica Lasky-Su,"Dr. Lasky-Su is an Associate Professor in Medicine and Associate Statistician and Epidemiologist at Harvard Medical School and Brigham and Women's Hospital. Over two decades, Dr. Lasky-Su has focused on the analysis of genetics, genomics, and metabolomics data in large scale human studies, with a primary research focus on lung disease pathophysiology. The accumulation of these efforts has resulted in a productive track record of over 200 original research articles. Via multiple PI-funded grants, Dr. Lasky-Su has particularly focused her research on ""integrative metabolomics,"" that integrates multiomic data while using a metabolomic-centric framework. Dr. Lasky-Su is also a leader in national and international metabolomic organizations for metabolomics, including the President of the Metabolomics Society-the largest International society for metabolomics, in the chairman of the NIH's Consortium of METabolomic Studies (COMETS)-the largest international consortium of metabolomic epidemiological studies.",Brigham and Women's Hospital; Harvard Medical School
carl-brunius,Carl Brunius,"Dr. Brunius investigates how diet associates to health outcomes via metabolic regulation, against a backdrop of multiple exposures, including microbiota, lifestyle and organic pollutants. He also develops approaches for precision nutrition, i.e., healthy food tailored for individual requirements. For this purpose, he aims at discovering metabotypes, i.e., groups of individuals with similar metabolic regulation in relation to diet, and to understand what determines such metabotypes. A major research interest lies in developing and applying molecular epidemiological approaches for linking multiple exposures to multiple health outcomes via molecular mediators. His research relies on machine learning and Omics data from both cohort and intervention studies.",Chalmers University of Technology
liming-liang,Liming Liang,"Dr. Liming Liang is a statistical geneticist with expertise and intensive experience in a variety of large-scale high dimensional omics studies for complex diseases and traits, including genome-wide association studies (GWAS), disease mapping using gene expression, and DNA methylation, metabolomics analyses for complex disease etiology and prediction. His research is focused on developing and applying computational and statistical tools required for understanding the human genome, epigenome, transcriptome, and metabolome, with a particular focus on chronic diseases.",Harvard T. H. Chan School of Public Health
mats-jirstrand,Mats Jirstrand,"Dr. Jirstrand's research covers learning dynamical systems, non-linear filtering, and time-series analysis (with applications in pharmacometrics, personalized nutrition, systems biology, and physiology). Furthermore, his group is active in artificial intelligence methods and applications such as deep neural networks, reinforcement learning; federated learning; and natural language processing. Recent work by his team is in mathematical modeling for personalized nutrition and includes algorithms for detecting groups of individuals who respond differently to the same diet (also known as metabotyping).",Fraunhofer-Chalmers Centre
fredrik-backhed,Fredrik Bäckhed,"Dr. Bäckhed combines clinical oriented research with gnotobiotic mouse models to address the role of the normal gut microbiota in metabolic diseases. He is appointed Professor at University of Copenhagen and has been guest Professor at University of Oslo (2013-15) and did a sabbatical at University of Hawaii (2019). Dr. Bäckhed was one of the world's most cited researchers in 2020 in 'Microbiology' and 'Molecular Biology and Genetics' according to Clarivate Web of Science. Fredrik Bäckhed has received a large number of prestigious awards and appointments. Dr Bäckhed has been elected to the Young Academy of Sweden (2011-2015), The Royal Swedish Academy of Engineering Sciences (2015), The Royal Swedish Academy of Sciences (2018). He has also been appointed Torsten Söderberg Professor in Medicine and Wallenberg Scholar.",University of Gothenburg; University of Copenhagen
ann-sofie-sandberg,Ann-Sofie Sandberg,"Dr Sandberg has focused her research during the last 30 -40 years on bioavailability of minerals and inhibitors of absorption as well as bioactive compounds in seafood of importance in metabolic disease. In recent years she has become interested in early life nutrition and has together with national colleagues established a mother child birth cohort (NICE) in the North of Sweden. The cohort is designed to investigate the influence of lifestyle factors during pregnancy and early in life on immune maturation and allergy development in the children. Dr Sandberg studies the effect of diet and nutrients, validated with biomarkers, on immune maturation and allergy outcome in the children applying metabolomics and other omics techniques. Dr Sandberg is elected member of the Swedish Royal Academy of Engineering Sciences, honorary doctor in medicine at Sahlgrenska Academy, vice chair of the Royal Swedish Academy of Sciences National Committee of Nutrition and Food Science, holder of the Gustaf Dalén memorial medal. Currently, Dr Sandberg is leading a research group at Division of Food and Nutrition Science at Chalmers.",Chalmers University of Technology
majken-k-jensen,Majken K. Jensen,"Dr. Jensen's primary research fields include the identification of aging-related chronic diseases biomarkers (fatty liver disease, type 2 diabetes, cardiovascular, cognitive impairment, dementia); investigation of high-dimensional data (genome-wide association studies, proteomics, and other -omics) in observational epidemiology; and advancement of methodological approaches for the epidemiological investigation of biomarkers in chronic diseases. Her research team also works on combining national data registries with biomarkers and images from a tissue biobank estimate prognosis and reclassify (biopsy-proven) diseases.",University of Copenhagen
jordi-merino,Jordi Merino,"Dr. Merino's research interests span nutrition, metabolism, and genomics, all aimed at understanding how molecular and environmental factors affect complex metabolic diseases to identify more effective, tailored, and sustainable strategies for preventing diabetes and related complications. A major research interest is genetic determinants of food intake, which provided insights into central nervous system processes regulating appetite and metabolic homeostasis. Dr. Merino has designed and implemented clinical trials to predict individual responses to specific dietary interventions.",Massachusetts General Hospital
goran-bergstrom,Göran Bergström,"Dr. Bergström's research aim to improve and personalize risk prediction of cardiovascular disease. He is head of the Physiology Group at Wallenberg Laboratory and senior consultant in clinical physiology at the Vascular Diagnostic Unit, Sahlgrenska University Hospital. He is chair of the Swedish CArdioPulmonary bioImage Study (SCAPIS), which aims to recruit and extensively phenotype 30,000 subjects aged 50-64 years at six Swedish university hospitals. The ultimate goal of SCAPIS is to reduce mortality and morbidity from cardiovascular disease, chronic obstructive pulmonary disease, and related metabolic disorders.","Department of Molecular and Clinical Medicine, Institute of Medicine, Sahlgrenska Academy, University of Gothenburg"
